ID,NoFloor,FloorArea(m2),TotalFloorArea(m2),ColumnArea(m2),ConcreteWallArea(NS)(m2),ConcreteWallArea(EW)(m2),MasonryWallArea(NS)(m2),MasonryWallArea(EW)(m2),StructuralDamage
224,1,184,184,1.4,0,0,0.3,0.03,0
226,1,231,231,1.8,0,0,0.4,0,0
227,2,146,292,2,0,0,0.24,0.24,0
228,3,230,689,2.1,0,0,0.13,0,0
229,3,221,663,4.2,0,0,0.16,0.19,1
230,3,368,1105,4.8,0,0,0.18,0.23,1
231,3,322,965,3.8,0,0,0.26,0.19,1
232,3,235,704,1.7,0,0,0.5,0,0
233,3,233,700,2.1,0,0,0.58,0,0
235,2,336,672,2.3,0,0,0.24,0,1
236,2,181,362,2.2,0,0,0.22,0,0
239,2,349,699,2.1,0,0,0.31,0.17,1
241,2,158,317,1.2,0,0,0.18,0,0
243,2,146,292,2,0,0,0.27,0,0
245,4,138,550,1.2,0,0,0.09,0.15,1
246,3,108,325,1.4,0,0,0.43,0,1
248,2,279,572,2.3,0,0,0.07,0.06,1
249,6,309,1781,5.6,0,0,0.57,0.12,0
250,3,192,514,1.6,0,0,0.13,0.15,1
251,1,175,175,1.2,0,0,0.31,0,0
252,1,183,183,2.2,0,0,0.37,0.42,0
253,3,296,889,2.2,0,0,0.2,0.28,1
254,3,85,254,0.4,0,0,0.04,0.15,1
255,2,135,270,1.2,0,0,0,0.25,0
257,6,527,3160,9.7,0,0,0.43,0.3,1
259,3,201,603,1.7,0,0,0.26,0.26,0
260,3,276,827,1.4,0,0,0.36,0.49,0
261,3,149,447,1.2,0,0,0.23,0.05,1
262,5,248,1240,0.9,0,0,0.1,0.24,1
263,2,139,278,1.5,0,0,0.25,0.1,1
264,3,92,277,1,0,0,0.27,0.07,0
265,3,92,275,1.6,0,0,0.15,0.1,1
266,3,114,343,1,0,0,0.28,0.09,1
267,4,51,205,1.2,0,0,0.06,0.13,0
268,4,686,3169,5,0,0,0.4,0.43,1
270,4,93,374,1.9,0,0,0.18,0.15,0
271,3,82,245,1.3,0,0,0.41,0.04,0
273,1,259,259,1.3,0,0,0.19,0.18,1
274,3,332,996,3.5,0,0,0.25,0.04,1
275,2,276,551,1.4,0,0,0.36,0.49,1
276,3,283,850,1.9,0,0,0.71,0.37,1
277,3,146,437,1.1,0,0,0.26,0.25,1
278,3,266,799,2,0,0,0.07,0.08,1
279,3,235,704,1.8,0,0,0.27,0,0
280,3,227,680,1.8,0,0,0.04,0.27,1
282,3,198,594,1.9,0,0,0.27,0.03,0
283,3,174,523,1.3,0,0,0,0.27,0
284,4,148,523,2.6,0,0,0.48,0.3,0
285,2,201,403,1.5,0,0,0.27,0.27,0
287,1,413,413,4.2,0,0,0.82,1.23,0
288,2,179,357,1,0,0,0.29,0.22,0
289,2,215,429,1.7,0,0,0.29,0.04,0
290,2,215,429,1.7,0,0,0.36,0.33,0
293,5,324,1438,8.6,0,0,0.45,0.15,1
294,4,403,1428,3.4,0,0,0.4,0.58,1
295,4,89,356,0.6,0,0,0.4,0.08,0
296,4,356,1424,4.1,0,0,0.27,0.68,0
297,2,54,108,0.9,0,0,0.06,0.2,1
298,2,1341,2606,8.8,0,0,1.04,0.66,0
299,3,301,903,2.3,0,0,0.26,0.62,1
300,6,349,2094,3.6,1.6,1.8,0.05,0.11,0
301,2,53,105,1.1,0,0,0.15,0.12,0
302,2,103,205,1.8,0,0,0.14,0.18,0
304,3,107,322,0.8,0,0,0.44,0.27,1
305,3,147,442,1,0,0,0.44,0.15,1
306,3,155,464,0.9,0,0,0.27,0.07,0
307,2,78,156,0.9,0,0,0.57,0.14,0
308,3,469,1406,11.4,0.9,10.3,0,0,0
309,4,203,846,2.5,5.2,1.4,0,0,0
310,2,633,1265,5.5,0,0,1.46,0.65,0
314,3,479,1544,5.6,0,0,0.66,0.08,1
316,2,297,636,4.2,0,0,0.44,0,0
317,4,69,312,1.7,2.2,0.9,0,0,0
318,3,47,140,0.4,0,0,0.07,0.26,0
319,8,425,3403,6.7,1.7,5,0,0,0
321,3,531,1682,6.4,0,0,0.54,0.08,1
322,3,443,1572,6,0,0,0.61,0.15,0
323,3,460,1510,5.8,2.8,3.2,0.76,0.08,0
324,4,724,2728,8.2,1,1.3,0.39,0.36,0
325,3,429,1287,6.6,2.1,0.3,0.36,0,1
326,2.5,191,525,3.2,0,0,0.41,0.01,0
328,3,820,2460,7.9,0,0,0,2.1,1
330,3,807,2421,8.6,0,0,0,1.85,0
331,3,840,2520,7.1,5.9,0,0,1.67,0
332,3,333,998,3.7,0.8,2,0.39,0,0
333,3.5,580,2030,5.3,0,0,1.6,0,1
334,3,700,2100,37,0,0,1.83,0,0
335,3,921,2763,8.7,0,0,2.11,0,0
336,2,118,236,0.9,0.9,0,0.4,0.14,0
338,4,193,772,3.6,0,0,0.5,0,0
339,4,1447,5400,40,0,0,0.34,1.1,0
340,3,1300,3900,15.8,0,0,1.68,0.43,0
341,3,1643,4929,21.2,0,0,1.85,1.09,0
342,2,153,348,1.6,0,0,0.55,0.28,0
343,2,508,1016,2.5,0,0,0,0.16,1
344,2,240,425,4.2,0,0,0.71,0.37,0
345,3,974,2923,21.1,0,0,1.44,1.09,0
347,3,110,385,1.8,3.4,0.9,0,0,0
348,2,362,811,2.4,0,0,0.97,0.68,1
349,5,750,3750,8,9.8,6.5,0,0,0
350,3,366,1098,4.3,4.5,6.3,0.68,0.14,0
351,3,241,769,4.2,3.4,2.5,0.62,0.2,0
352,3,458,1583,9.8,0,2.2,1.83,0.16,0
353,3,400,1127,3.3,0,0,2.27,0.68,0
354,2,450,940,4.5,0,1.3,1.13,0.54,0
355,2,87,187,1.2,0,0,0.37,0.31,0
357,5,112,616,2.3,0,0,0,0,1
358,4,49,208,1.9,0,0,0.2,0.02,0
359,2,246,616,2.2,0,0,1.1,0.2,0
360,3,145,543,2.5,0,0,0.98,0.11,1
361,2,564,1128,6.6,0,0,1.4,0.37,0
363,2,562,932,8.3,8.4,6.6,0,0,0
364,2,213,425,5.9,1.5,5.1,0,0,0
365,3,804,2412,11.5,6.3,5.4,0.38,0.18,0
366,3,302,906,8.8,0,0,0.85,0.04,0
368,3,105,315,2.8,0.7,3.6,0,0,0
369,3,266,931,3.3,4,3.4,0,0,0
370,2,297,743,1.8,0,0,0.05,0.6,1
371,3,352,1232,2.2,0,0,1.3,0.87,1
